,url,Marke,Model,Kilometerstand,Antrieb,Baujahr,Motorleistung,Preis,Sitzplätze,Türen,Hubraum,Außenfarbe
0,https://www.autoscout24.de/angebote/audi-a5-coupe-1-8-tfsi-xenon-tempo-18-zoll-klimaauto-benzin-schwarz-5e7e5eff-8b49-448b-bafc-a31bb1e87c93,Audi, A5 ,117981,Schaltgetriebe,2013,125,12950.0,4,2,1798,Schwarz
1,https://www.autoscout24.de/angebote/audi-s3-sportback-2-0-tfsi-quattro-pano-navi-bose-benzin-schwarz-19ab8289-e24f-4e70-8037-037f4f8d7a72,Audi, S3 ,186500,Automatik,2012,195,12499.0,5,4,1984,Schwarz
2,https://www.autoscout24.de/angebote/audi-a6-allroad-allroad-3-0-tfsi-qu-luftfederung-ahk-leder-benzin-grau-7aa0adaf-a46a-4cc4-8384-9d30dfe7d9d9,Audi, A6 allroad ,187000,Automatik,2011,213,14480.0,5,5,2995,Grau
3,https://www.autoscout24.de/angebote/audi-q3-2-0-tdi-keyless-sitzheizung-2-hand-diesel-schwarz-971a82bb-bd7e-431c-bcf8-e34c8eb957dd,Audi, Q3 ,115638,Schaltgetriebe,2013,103,13950.0,5,4,1968,Schwarz
4,https://www.autoscout24.de/angebote/audi-a6-allroad-3-0-tdi-clean-diesel-navi-leder-ahk-diesel-gruen-68a04bb6-6b14-4a3c-b2fe-6fd931a30156,Audi, A6 allroad ,216394,Automatik,2013,180,15990.0,5,4,2967,Grün
5,https://www.autoscout24.de/angebote/audi-a4-2-0-tdi-avant-s-line-aut-bi-xenon-tempomat-n-diesel-silber-152a0c70-8d71-42fe-960a-9efea5e7937a,Audi, A4 ,206979,Automatik,km (komb.),140,13999.0,5,4,1968,Silber
6,https://www.autoscout24.de/angebote/audi-q3-1-4-tfsi-klima-zv-lm-benzin-schwarz-68c8b321-1835-4d09-84bd-4ddd185aaf61,Audi, Q3 ,70753,Schaltgetriebe,km),110,13280.0,5,5,1395,Schwarz
7,https://www.autoscout24.de/angebote/audi-a5-s-line-2-0-tfsi-quattro-shz-pdc-klima-xenon-benzin-schwarz-c23922fa-ab4d-4b23-9064-90d8b558b0f1,Audi, A5 ,160000,Automatik,2012,199,18790.0,4,4,1984,Schwarz
8,https://www.autoscout24.de/angebote/audi-a3-a3-sportback-2-0-tdi-ambition-xenon-tempomat-diesel-schwarz-b9039989-3a3f-439f-90b4-e5b33a00edac,Audi, A3 ,125000,Schaltgetriebe,2013,110,13570.0,5,5,1968,Schwarz
9,https://www.autoscout24.de/angebote/audi-a3-2-0-tdi-ambition-xenon-navi-pdc-diesel-grau-f57f511d-b6da-4fbf-a393-83f768c24cb2,Audi, A3 ,236082,Schaltgetriebe,2014,110,8850.0,5,3,1968,Grau
10,https://www.autoscout24.de/angebote/audi-a5-coupe-3-0-tdi-quattro-abt-power-s-s-line-diesel-schwarz-31c4dcba-915d-4a06-951c-a16cea8012b1,Audi, A5 ,192225,Automatik,2011,228,14500.0,4,2,2967,Schwarz
11,https://www.autoscout24.de/angebote/audi-a5-sportback-1-8-tfsi-navi-klima-benzin-schwarz-bb86cf12-7080-469f-829a-9c840e6e6ed5,Audi, A5 ,119876,Schaltgetriebe,2016,106,16490.0,4,5,1798,Schwarz
12,https://www.autoscout24.de/angebote/audi-q7-3-0-tdi-quattro-bi-xenon-pdc-7-sitzer-ahk-diesel-weiss-2916326a-9453-4e78-bf71-a74ce605539a,Audi, Q7 ,192000,Automatik,2013,180,18998.0,7,4,2967,Weiß
13,https://www.autoscout24.de/angebote/audi-a6-allroad-3-0-tdi-ahk-schiebedach-standheizung-diesel-weiss-66b9dfaf-8465-4bbc-b8b0-96fb012690a1,Audi, A6 allroad ,160500,Automatik,2010,176,15999.0,5,4,2967,Weiß
14,https://www.autoscout24.de/angebote/audi-a5-sportback-2-0-tdi-2-hand-s-line-xenon-shz-diesel-schwarz-af7c3651-5657-49d3-9353-4f5584eb8e99,Audi, A5 ,158000,Automatik,2014,130,18990.0,4,4,1968,Schwarz
15,https://www.autoscout24.de/angebote/audi-a5-2-0-tdi-sportback-quattro-s-tronic-diesel-schwarz-68049530-2e5b-4d37-bf86-f5320e419e1a,Audi, A5 ,145000,Automatik,2014,140,17990.0,5,4,1968,Schwarz
16,https://www.autoscout24.de/angebote/audi-a4-ambiente-acc-b-olufsen-pdc-shz-navi-diesel-weiss-41f68851-9f46-4046-8ab9-ff5979e1fb9c,Audi, A4 ,86400,Automatik,2014,110,16490.0,5,5,1968,Weiß
17,https://www.autoscout24.de/angebote/audi-a7-sportback-3-0-tfsi-quattro-s-line-benzin-87680637-fe8c-430c-9b8c-1c3751b8dab1,Audi, A7 ,100000,Automatik,2012,220,26990.0,4,4,2995,
18,https://www.autoscout24.de/angebote/audi-a4-avant-2-0-tdi-attraction-navi-klima-tempomat-shz-diesel-grau-051a9a6d-0f92-451a-b6b1-902ae134c508,Audi, A4 ,233000,Schaltgetriebe,2011,125,7950.0,5,5,1968,Grau
19,https://www.autoscout24.de/angebote/audi-s3-2-0-tfsi-quattro-stage2-led-navi-alcantara-benzin-grau-8bc07514-361b-4216-9530-359597b7b578,Audi, S3 ,84000,Automatik,2015,302,24950.0,5,2,1984,Grau
20,https://www.autoscout24.de/angebote/audi-a4-1-8-tfsi-ambiente-shz-klima-pdc-45tkm-benzin-silber-748bf175-abaf-47fb-853b-7bd88a76ced5,Audi, A4 ,45700,Schaltgetriebe,2010,88,12790.0,5,4,1798,Silber
21,https://www.autoscout24.de/angebote/audi-s7-4-0-tfsi-acc-b-o-s-sitze-deutsches-auto-benzin-schwarz-1b91c9be-5078-44b9-9543-f5eae042a63e,Audi, S7 ,95830,Automatik,2013,309,33480.0,4,5,3993,Schwarz
