,url,Marke,Model,Kilometerstand,Antrieb,Baujahr,Motorleistung,Preis,Barzahlungspreis,Anzahlung,Laufzeit,Nettodarlehen,Effektiver Jahreszins,Sollzins geb. p.a.,Monatliche Rate,Karosserieform,Fahrzeugart,Sitzplätze,Türen,Angebotsnummer,Garantie,Kilometerstand,Erstzulassung,HU,Nichtraucherfahrzeug,Leistung,Getriebe,Hubraum,Kraftstoff,Kraftstoffverbrauch2,CO₂-Emissionen2,Schadstoffklasse,Umweltplakette,Komfort,Unterhaltung/Media,Sicherheit,Extras,Außenfarbe,Farbe laut Hersteller,Lackierung,Farbe der Innenausstattung,Innenausstattung,Überführungskosten,Zulassungskosten,"Gesamt, einmalig",Leasinggesamtbetrag,Vertragsart,Fahrleistung p.a.,Leasingfaktor,Mehr-km Kosten,Minder-km Vergütung,Antriebsart,Länderversion,Fahrzeughalter,Scheckheftgepflegt,Energieeffizienzklasse,CO₂-Effizienz,Schlussrate,Schlüsselnummer,Baujahr,Zylinder,Gänge,Leergewicht,Bruttodarlehensbetrag,Bearbeitungsgebühren
0,https://www.autoscout24.de/angebote/audi-a5-coupe-1-8-tfsi-xenon-tempo-18-zoll-klimaauto-benzin-schwarz-5e7e5eff-8b49-448b-bafc-a31bb1e87c93,Audi, A5 ,117981,Schaltgetriebe,2013,125,12.950,"€ 12.950,-","€ 0,-",60 Monate,"€ 12.950,-","5,68 %","5,50 %","€ 569,99",Coupé,Gebraucht,4,2,57,Ja,117.981 km,05/2013,11/2024,Ja,125 kW (170 PS),Schaltgetriebe,1.798 cm³,Normal/Benzin E10 91,"5,7 l/100 km (komb.)7,4 l/100 km (innerorts)4,8 l/100 km (außerorts)",135 g/km (komb.),Euro 5,4 (Grün),ArmlehneEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelElektrische SitzeKlimaanlageKlimaautomatikLederlenkradLichtsensorLordosenstützeRegensensorSitzheizungStart/Stop-AutomatikTempomat,BordcomputerCDRadioSoundsystemUSB,ABSAlarmanlageBeifahrerairbagBi-Xenon ScheinwerferESPFahrerairbagIsofixLED-TagfahrlichtNebelscheinwerferReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleWegfahrsperreZentralverriegelung,AllwetterreifenAlufelgenE10-geeignetScheinwerferreinigungSportfahrwerkSportpaketWinterpaket,Schwarz,Brillantschwarz,Metallic,Schwarz,Stoff,"€ 990,-","€ 0,-","€ 990,-","€ 34.199,40",Kilometerleasing,5.000 km,"0,97","€ 0,0000","€ 0,0000",,,,,,,,,,,,,,
1,https://www.autoscout24.de/angebote/audi-s3-sportback-2-0-tfsi-quattro-pano-navi-bose-benzin-schwarz-19ab8289-e24f-4e70-8037-037f4f8d7a72,Audi, S3 ,186500,Automatik,2012,195,12.499,"€ 12.499,-","€ 0,-",48 Monate,"€ 12.499,-","5,68 %","5,50 %","€ 412,-",Limousine,Gebraucht,5,4,18827,,186.500 km,08/2012,11/2023,Ja,195 kW (265 PS),Automatik,1.984 cm³,Super 95,"8,4 l/100 km (komb.)11,2 l/100 km (innerorts)6,8 l/100 km (außerorts)",195 g/km (komb.),Euro 5,4 (Grün),2-Zonen-KlimaautomatikArmlehneBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelElektrische SitzeKlimaanlageLederlenkradLichtsensorLordosenstützeMultifunktionslenkradNavigationssystemPanoramadachRegensensorSitzheizungStart/Stop-AutomatikTempomat,BluetoothBordcomputerCDFreisprecheinrichtungMusikstreaming integriertRadioSoundsystemUSB,ABSAlarmanlageBeifahrerairbagBlendfreies FernlichtESPFahrerairbagFernlichtassistentIsofixKurvenlichtLED-TagfahrlichtNebelscheinwerferNotbremsassistentNotrufsystemReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleWegfahrsperreXenonscheinwerferZentralverriegelung,AlufelgenAmbientebeleuchtungDachrelingInnenspiegel automatisch abblendendPannenkitSchaltwippenScheinwerferreinigungSommerreifenSportfahrwerkSportpaketSportsitzeSprachsteuerungWinterreifen,Schwarz,Phantomschwarz Perleffekt,Metallic,Schwarz,Teilleder,Keine Angabe,Keine Angabe,"€ 0,-",,Kilometerleasing,10.000 km,,"€ 0,0000","€ 0,0000",Allrad,Deutsche Ausführung,2,Ja,C,Auf der Grundlage der gemessenen CO₂-Emissionen unter Berücksichtigung der Masse des Fahrzeugs ermittelt.,"€ 18.525,60",,,,,,,
2,https://www.autoscout24.de/angebote/audi-a5-3-0-tdi-quattro-s-line-plus-19zoll-mmi-diesel-weiss-5994533b-09a5-41ef-9b4e-b51ddec8f644,Audi, A5 ,237520,Automatik,2016,160,15.980,,"€ 0,-",48 Monate,,,,"€ 1.099,-",Limousine,Gebraucht,4,4,,,237.520 km,03/2016,Neu,Ja,160 kW (218 PS),Automatik,2.967 cm³,Diesel,"6,1 l/100 km (komb.)7,3 l/100 km (innerorts)5,4 l/100 km (außerorts)",162 g/km (komb.),Euro 6,4 (Grün),ArmlehneBeheizbare FrontscheibeBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelElektrische SitzeKlimaanlageKlimaautomatikLederlenkradMultifunktionslenkradNavigationssystemRegensensorSitzheizungStart/Stop-AutomatikTempomat,BluetoothBordcomputerCDDAB-RadioFreisprecheinrichtungRadio,ABSAlarmanlageBeifahrerairbagBi-Xenon ScheinwerferESPFahrerairbagIsofixKurvenlichtLED-TagfahrlichtNebelscheinwerferReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleVerkehrszeichenerkennungWegfahrsperreZentralverriegelung,AlufelgenAnhängerkupplungInnenspiegel automatisch abblendendPannenkitSchaltwippenScheinwerferreinigungSportfahrwerkSportpaketSportsitzeSprachsteuerungWinterpaketWinterreifen,Weiß,Suzukagrau Metallic,Metallic,Schwarz,Alcantara,Keine Angabe,Keine Angabe,"€ 0,-",,Kilometerleasing,10.000 km,,"€ 0,0000","€ 0,0000",Allrad,Deutsche Ausführung,2,Ja,,,"€ 44.373,12",,,,,,,
3,https://www.autoscout24.de/angebote/audi-a4-2-0-tdi-avant-multitr-ambiente-navi-gewerbe-diesel-grau-2e8879ef-0b56-476e-8825-1c04e61645bb,Audi, A4 ,252333,Automatik,2011,105,5.750,,"€ 0,-",36 Monate,,,,"€ 440,-",Kombi,Gebraucht,5,5,LBK-035184,,252.333 km,09/2011,12/2023,,105 kW (143 PS),Automatik,1.968 cm³,Diesel (Partikelfilter),"6 l/100 km (komb.)7,5 l/100 km (innerorts)5,2 l/100 km (außerorts)",159 g/km (komb.),Euro 5,1 (Keine),3-Zonen-KlimaautomatikArmlehneEinparkhilfeEinparkhilfe Sensoren hintenElektr. FensterheberElektrische SeitenspiegelKlimaanlageLederlenkradLichtsensorMultifunktionslenkradNavigationssystemRegensensorSitzheizungTempomatteilb. Rücksitzbank,BordcomputerMP3RadioUSB,ABSAbstandswarnerAlarmanlageBeifahrerairbagESPFahrerairbagIsofixKopfairbagNebelscheinwerferSeitenairbagServolenkungSpurhalteassistentTagfahrlichtTotwinkel-AssistentTraktionskontrolleWegfahrsperreZentralverriegelungZentralverriegelung mit Funkfernbedienung,DachrelingKatalysatorSchaltwippenSprachsteuerungTouchscreen,Grau,Monsungrau metallic,Metallic,Schwarz,Stoff,Keine Angabe,Enthalten,"€ 0,-","€ 41.247,13",Kilometerleasing,10.000 km,"1,07",,,Front,,4,,,,,0588/AHA,2011,4,,,,
4,https://www.autoscout24.de/angebote/audi-a6-allroad-3-0-tdi-clean-diesel-navi-leder-ahk-diesel-gruen-68a04bb6-6b14-4a3c-b2fe-6fd931a30156,Audi, A6 allroad ,216394,Automatik,2013,180,15.990,,"€ 0,-",60 Monate,,,,"€ 122,-",Kombi,Gebraucht,5,4,Fahrzeug Nr.: 23,Ja,216.394 km,07/2013,Neu,Ja,180 kW (245 PS),Automatik,2.967 cm³,Diesel,"6,3 l/100 km (komb.)7,4 l/100 km (innerorts)5,6 l/100 km (außerorts)",167 g/km (komb.),Euro 6,4 (Grün),ArmlehneBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelElektrische SitzeKlimaanlageKlimaautomatikLederausstattungLederlenkradLichtsensorLordosenstützeMultifunktionslenkradNavigationssystemPanoramadachRegensensorSchiebedachSitzheizungStart/Stop-AutomatikTempomat,BluetoothBordcomputerCDDAB-RadioFreisprecheinrichtungRadio,ABSAbstandswarnerAlarmanlageBeifahrerairbagESPFahrerairbagGeschwindigkeits-begrenzungsanlageIsofixNebelscheinwerferReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleWegfahrsperreZentralverriegelung,AlufelgenAnhängerkupplungDachrelingGepäckraumabtrennungInnenspiegel automatisch abblendendScheinwerferreinigungSommerreifenSportsitzeSprachsteuerung,Grün,Tiefgrün Perleffekt,Metallic,Beige,Vollleder,"€ 1.150,-","€ 150,-","€ 1.300,-","€ 7.320,-",Kilometerleasing,10.000 km,"0,79","€ 0,0324","€ 0,0217",Allrad,Deutsche Ausführung,2,Ja,,,,,,,,,,
5,https://www.autoscout24.de/angebote/audi-q3-design-quattro-navi-leder-pdc-shz-ahk-klima-diesel-schwarz-5f17969e-1c36-4b8d-a6a8-91a1e478006d,Audi, Q3 ,189518,Schaltgetriebe,2015,135,14.990,,"€ 0,-",60 Monate,,,,"€ 583,95",SUV/Geländewagen/Pickup,Gebraucht,5,4,Fahrzeugnummer : 58,Ja,189.518 km,06/2015,Neu,Ja,135 kW (184 PS),Schaltgetriebe,1.968 cm³,Diesel,"5,6 l/100 km (komb.)6,7 l/100 km (innerorts)4,9 l/100 km (außerorts)",146 g/km (komb.),Euro 6,4 (Grün),ArmlehneBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelKlimaanlageKlimaautomatikLederausstattungLederlenkradLichtsensorLordosenstützeMultifunktionslenkradNavigationssystemRegensensorSitzheizungStart/Stop-AutomatikTempomatUmklappbarer Beifahrersitz,BluetoothBordcomputerCDFreisprecheinrichtungUSB,ABSAlarmanlageBeifahrerairbagBi-Xenon ScheinwerferESPFahrerairbagGeschwindigkeits-begrenzungsanlageIsofixKurvenlichtLED-TagfahrlichtReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleVerkehrszeichenerkennungWegfahrsperreZentralverriegelung,AlufelgenAnhängerkupplungDachrelingGepäckraumabtrennungInnenspiegel automatisch abblendendPannenkitScheinwerferreinigungSommerreifenSportfahrwerkSportpaketSportsitzeSprachsteuerungWinterpaket,Schwarz,Brillantschwarz,Metallic,Schwarz,Vollleder,"€ 990,-","€ 0,-","€ 990,-","€ 35.037,-",Kilometerleasing,5.000 km,"0,98","€ 0,0000","€ 0,0000",Allrad,Deutsche Ausführung,2,,,,,,,,,,,
6,https://www.autoscout24.de/angebote/audi-a6-allroad-3-0-tdi-quattro-20zoll-led-standhzg-ahk-kamera-diesel-blau-5456dcb7-05ea-4313-bc03-2658a9f3d40e,Audi, A6 allroad ,221000,Automatik,2014,230,18.970,"€ 18.970,-","€ 0,-",36 Monate,"€ 18.970,-","5,68 %","5,50 %","€ 266,-",Kombi,Gebraucht,5,5,224 G,,221.000 km,06/2014,,,230 kW (313 PS),Automatik,2.967 cm³,Diesel (Partikelfilter),"6,7 l/100 km (komb.)7,9 l/100 km (innerorts)6 l/100 km (außerorts)",178 g/km (komb.),Euro 5,4 (Grün),4-Zonen-KlimaautomatikArmlehneBeheizbares LenkradBerganfahrassistentEinparkhilfeEinparkhilfe KameraEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische HeckklappeElektrische SeitenspiegelElektrische SitzeGetönte ScheibenHead-up displayKlimaanlageLederlenkradLichtsensorLordosenstützeLuftfederungMultifunktionslenkradNavigationssystemRegensensorSchlüssellose ZentralverriegelungSitzheizungStandheizungStart/Stop-AutomatikTempomatteilb. Rücksitzbank,BluetoothBordcomputerCDDAB-RadioFreisprecheinrichtungMP3Musikstreaming integriertRadioUSB,ABSAbstandstempomatBeifahrerairbagESPFahrerairbagFernlichtassistentIsofixKopfairbagLED-ScheinwerferLED-TagfahrlichtMüdigkeitswarnsystemNotbremsassistentReifendruckkontrollsystemSeitenairbagServolenkungSpurhalteassistentTagfahrlichtTotwinkel-AssistentTraktionskontrolleVerkehrszeichenerkennungVoll-LED ScheinwerferWegfahrsperreZentralverriegelungZentralverriegelung mit Funkfernbedienung,"Alufelgen (20"")AnhängerkupplungDachrelingElektronische ParkbremseGepäckraumabtrennungInnenspiegel automatisch abblendendKatalysatorSchaltwippenScheinwerferreinigungSportfahrwerkSportsitzeSprachsteuerungTouchscreenWinterreifen",Blau,Individuallack Audi exclusive,Metallic,Grau,Alcantara,Keine Angabe,Keine Angabe,"€ 0,-",,Kilometerleasing,10.000 km,,"€ 0,0000","€ 0,0000",Allrad,Deutsche Ausführung,,Ja,,,"€ 14.714,21",0588/ATI,,6,8,1.985 kg,,
7,https://www.autoscout24.de/angebote/audi-a3-2-0-tdi-ambition-xenon-navi-pdc-diesel-grau-f57f511d-b6da-4fbf-a393-83f768c24cb2,Audi, A3 ,236082,Schaltgetriebe,2014,110,8.850,,"€ 0,-",60 Monate,,,,"€ 346,04",Limousine,Gebraucht,5,3,KLFS-039-86913,,236.082 km,12/2014,06/2024,,110 kW (150 PS),Schaltgetriebe,1.968 cm³,Diesel (Partikelfilter),"4,1 l/100 km (komb.)5 l/100 km (innerorts)3,6 l/100 km (außerorts)",109 g/km (komb.),Euro 6,4 (Grün),2-Zonen-KlimaautomatikBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenElektr. FensterheberElektrische SeitenspiegelGetönte ScheibenKlimaanlageLederlenkradLichtsensorMultifunktionslenkradNavigationssystemRegensensorSitzheizungTempomatteilb. Rücksitzbank,BluetoothFreisprecheinrichtungMP3RadioUSB,ABSBeifahrerairbagBi-Xenon ScheinwerferESPFahrerairbagIsofixReifendruckkontrollsystemSeitenairbagServolenkungTagfahrlichtTraktionskontrolleWegfahrsperreXenonscheinwerferZentralverriegelungZentralverriegelung mit Funkfernbedienung,"Alufelgen (17"")Elektronische ParkbremseSommerreifenSportpaket",Grau,Monsungrau Metallic,Metallic,,Stoff,Enthalten,"€ 0,-","€ 0,-","€ 20.762,40",Kilometerleasing,5.000 km,"0,76","€ 0,0000","€ 0,0000",Front,Deutsche Ausführung,2,,,,,0588/AVO,,4,6,,,
8,https://www.autoscout24.de/angebote/audi-a5-coupe-3-0-tdi-quattro-abt-power-s-s-line-diesel-schwarz-c6b6fd7e-ff1a-482f-b3d4-2120abc310d8,Audi, A5 ,192225,Automatik,2011,228,14.500,"€ 14.500,-","€ 0,-",48 Monate,"€ 14.500,-","5,68 %","5,50 %","€ 1.429,-",Coupé,Gebraucht,4,2,,,192.225 km,09/2011,Neu,Ja,228 kW (310 PS),Automatik,2.967 cm³,Diesel,"6,6 l/100 km (komb.)8,3 l/100 km (innerorts)5,7 l/100 km (außerorts)",174 g/km (komb.),Euro 5,4 (Grün),2-Zonen-KlimaautomatikArmlehneBerganfahrassistentEinparkhilfeEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelElektrische SitzeKlimaanlageLederausstattungLederlenkradLichtsensorLordosenstützeMassagesitzeMultifunktionslenkradNavigationssystemRegensensorSchlüssellose ZentralverriegelungSitzheizungStart/Stop-AutomatikTempomat,BluetoothBordcomputerCDFreisprecheinrichtungRadioSoundsystemUSB,ABSBeifahrerairbagESPFahrerairbagFernlichtassistentGeschwindigkeits-begrenzungsanlageIsofixKurvenlichtLED-ScheinwerferLED-TagfahrlichtMüdigkeitswarnsystemNachtsicht-AssistentNebelscheinwerferReifendruckkontrollsystemSeitenairbagServolenkungSpurhalteassistentTagfahrlichtTraktionskontrolleWegfahrsperreZentralverriegelung,AllwetterreifenAlufelgenAmbientebeleuchtungGepäckraumabtrennungInnenspiegel automatisch abblendendPannenkitScheinwerferreinigungSportpaketSportsitzeSprachsteuerung,Schwarz,"Individuallackierung, Audi exc",Metallic,Schwarz,Vollleder,Keine Angabe,Keine Angabe,"€ 0,-","€ 85.872,-",Kilometerleasing,10.000 km,,"€ 0,3561","€ 0,1178",Allrad,Deutsche Ausführung,,Ja,,,,,,,,,,
9,https://www.autoscout24.de/angebote/audi-sq5-3-0-tdi-b-o-21-pano-acc-8xalu-dab-r-cam-ahk-diesel-weiss-69cc0f41-399a-4986-b363-8dba35379b65,Audi, SQ5 ,199000,Automatik,2013,230,19.990,"€ 19.990,-","€ 0,-",48 Monate,"€ 19.990,-","5,68 %","5,50 %","€ 449,-",SUV/Geländewagen/Pickup,Gebraucht,5,4,25,,199.000 km,11/2013,11/2024,,230 kW (313 PS),Automatik,2.967 cm³,Diesel,"6,8 l/100 km (komb.)7,6 l/100 km (innerorts)6,4 l/100 km (außerorts)",180 g/km (komb.),Euro 5,4 (Grün),ArmlehneEinparkhilfeEinparkhilfe KameraEinparkhilfe Sensoren hintenEinparkhilfe Sensoren vorneElektr. FensterheberElektrische SeitenspiegelElektrische SitzeKlimaanlageKlimaautomatikLederausstattungLederlenkradLichtsensorMultifunktionslenkradNavigationssystemPanoramadachRegensensorSchiebedachSitzbelüftungSitzheizungStart/Stop-Automatik,BluetoothBordcomputerCDFreisprecheinrichtungRadioSoundsystemUSB,ABSAbstandstempomatAbstandswarnerAlarmanlageBeifahrerairbagBi-Xenon ScheinwerferESPFahrerairbagIsofixLED-TagfahrlichtNebelscheinwerferSeitenairbagServolenkungSpurhalteassistentTagfahrlichtTotwinkel-AssistentTraktionskontrolleWegfahrsperreZentralverriegelung,AlufelgenAnhängerkupplungDachrelingInnenspiegel automatisch abblendendScheinwerferreinigungSommerreifenSportfahrwerkWinterpaketWinterreifen,Weiß,Ibisweiß,,Schwarz,Vollleder,"€ 1.190,-",Enthalten,"€ 1.190,-","€ 21.552,-",Kilometerleasing,10.000 km,"2,08","€ 0,1249","€ 0,0523",Allrad,,2,Ja,,,,,,,,,,
